Year,OPRHP Region,County,Facility,Attendance
2014,Genesee,Genesee,Darien Lakes State Park,68360
2013,Genesee,Genesee,Darien Lakes State Park,60107
2012,Genesee,Genesee,Darien Lakes State Park,66184
2011,Genesee,Genesee,Darien Lakes State Park,69516
2010,Genesee,Genesee,Darien Lakes State Park,59639
2009,Genesee,Genesee,Darien Lakes State Park,50327
2008,Genesee,Genesee,Darien Lakes State Park,55184
2007,Genesee,Genesee,Darien Lakes State Park,62697
2006,Genesee,Genesee,Darien Lakes State Park,58176
2005,Genesee,Genesee,Darien Lakes State Park,61555
2004,Genesee,Genesee,Darien Lakes State Park,54429
2003,Genesee,Genesee,Darien Lakes State Park,56859
2020,Finger Lakes,Seneca,Deans Cove Boat Launch,26865
2019,Finger Lakes,Seneca,Deans Cove Boat Launch,20993
2018,Finger Lakes,Wayne,Deans Cove Boat Launch,19480
2017,Finger Lakes,Wayne,Deans Cove Boat Launch,17572
2016,Finger Lakes,Wayne,Deans Cove Boat Launch,17795
2015,Finger Lakes,Wayne,Deans Cove Boat Launch,15891
2014,Finger Lakes,Wayne,Deans Cove Boat Launch,14448
2013,Finger Lakes,Wayne,Deans Cove Boat Launch,15211
2012,Finger Lakes,Wayne,Deans Cove Boat Launch,16966
2011,Finger Lakes,Wayne,Deans Cove Boat Launch,15318
2010,Finger Lakes,Wayne,Deans Cove Boat Launch,16747
2009,Finger Lakes,Wayne,Deans Cove Boat Launch,16890
2008,Finger Lakes,Wayne,Deans Cove Boat Launch,21442
2007,Finger Lakes,Wayne,Deans Cove Boat Launch,26661
2006,Finger Lakes,Wayne,Deans Cove Boat Launch,12929
2005,Finger Lakes,Wayne,Deans Cove Boat Launch,15519
2004,Finger Lakes,Wayne,Deans Cove Boat Launch,20712
2003,Finger Lakes,Wayne,Deans Cove Boat Launch,17582
2004,Niagara,Niagara,Deaveaux Woods,26416
2003,Niagara,Niagara,Deaveaux Woods,27793
2020,Central,Oneida,Delta Lake St Pk,277951
2019,Central,Oneida,Delta Lake St Pk,268084
2018,Central,Oneida,Delta Lake St Pk,340761
2017,Central,Oneida,Delta Lake St Pk,267273
2016,Central,Oneida,Delta Lake St Pk,202781
2015,Central,Oneida,Delta Lake St Pk,212431
2014,Central,Oneida,Delta Lake St Pk,209556
2013,Central,Oneida,Delta Lake St Pk,221627
2012,Central,Oneida,Delta Lake St Pk,210925
2011,Central,Oneida,Delta Lake St Pk,196444
2010,Central,Oneida,Delta Lake St Pk,195083
2009,Central,Oneida,Delta Lake St Pk,172280
2008,Central,Oneida,Delta Lake St Pk,181829
2007,Central,Oneida,Delta Lake St Pk,173339
2006,Central,Oneida,Delta Lake St Pk,153607
2005,Central,Oneida,Delta Lake St Pk,156397
2004,Central,Oneida,Delta Lake St Pk,113826
2003,Central,Oneida,Delta Lake St Pk,119868
2020,Niagara,Niagara,Deveaux Woods,50307
2019,Niagara,Niagara,Deveaux Woods,105175
2018,Niagara,Niagara,Deveaux Woods,101088
2017,Niagara,Niagara,Deveaux Woods,81436
2016,Niagara,Niagara,Deveaux Woods,63900
2015,Niagara,Niagara,Deveaux Woods,62282
2014,Niagara,Niagara,Deveaux Woods,90202
2013,Niagara,Niagara,Deveaux Woods,107404
2012,Niagara,Niagara,Deveaux Woods,93396
2011,Niagara,Niagara,Deveaux Woods,20420
2010,Niagara,Niagara,Deveaux Woods,21726
2009,Niagara,Niagara,Deveaux Woods,34205
2008,Niagara,Niagara,Deveaux Woods,26768
2007,Niagara,Niagara,Deveaux Woods,28693
2006,Niagara,Niagara,Deveaux Woods,27517
2005,Niagara,Niagara,Deveaux Woods,28371
2020,Niagara,Niagara,Devils Hole,111084
2019,Niagara,Niagara,Devils Hole,161137
2018,Niagara,Niagara,Devils Hole,162774
2017,Niagara,Niagara,Devils Hole,160176
2016,Niagara,Niagara,Devils Hole,158816
2015,Niagara,Niagara,Devils Hole,150369
2014,Niagara,Niagara,Devils Hole,136118
2013,Niagara,Niagara,Devils Hole,133709
2012,Niagara,Niagara,Devils Hole,194484
2011,Niagara,Niagara,Devils Hole,416605
2010,Niagara,Niagara,Devils Hole,131451
2009,Niagara,Niagara,Devils Hole,111198
2008,Niagara,Niagara,Devils Hole,133641
2007,Niagara,Niagara,Devils Hole,142625
2006,Niagara,Niagara,Devils Hole,144114
2005,Niagara,Niagara,Devils Hole,153845
2004,Niagara,Niagara,Devils Hole,145065
2003,Niagara,Niagara,Devils Hole,161640
2020,Thousand Islands,Jefferson,Dewolf Point,17104
2019,Thousand Islands,Jefferson,Dewolf Point,14064
2018,Thousand Islands,Jefferson,Dewolf Point,17396
2017,Thousand Islands,Jefferson,Dewolf Point,17093
2016,Thousand Islands,Jefferson,Dewolf Point,17288
2015,Thousand Islands,Jefferson,Dewolf Point,16378
2014,Thousand Islands,Jefferson,Dewolf Point,15893
2013,Thousand Islands,Jefferson,Dewolf Point,16566
2012,Thousand Islands,Jefferson,Dewolf Point,19309
2011,Thousand Islands,Jefferson,Dewolf Point,15443
2010,Thousand Islands,Jefferson,Dewolf Point,11090
2009,Thousand Islands,Jefferson,Dewolf Point,9528
2008,Thousand Islands,Jefferson,Dewolf Point,8514
2007,Thousand Islands,Jefferson,Dewolf Point,8588
2006,Thousand Islands,Jefferson,Dewolf Point,7461
2005,Thousand Islands,Jefferson,Dewolf Point,8384
2004,Thousand Islands,Jefferson,Dewolf Point,8942
2003,Thousand Islands,Jefferson,Dewolf Point,8198
2020,Genesee,Monroe,Durand Eastman,0
2019,Genesee,Monroe,Durand Eastman,0
2016,Genesee,Monroe,Durand Eastman,19505
2015,Genesee,Monroe,Durand Eastman,23982
2014,Genesee,Monroe,Durand Eastman,22751
2013,Genesee,Monroe,Durand Eastman,32549
2012,Genesee,Monroe,Durand Eastman,30959
2011,Genesee,Monroe,Durand Eastman,25396
2010,Genesee,Monroe,Durand Eastman,26226
2009,Genesee,Monroe,Durand Eastman,26423
2008,Genesee,Monroe,Durand Eastman,22508
2007,Genesee,Monroe,Durand Eastman,13398
2006,Genesee,Monroe,Durand Eastman,17019
2005,Genesee,Monroe,Durand Eastman,37100
2004,Genesee,Monroe,Durand Eastman,0
2003,Genesee,Monroe,Durand Eastman,0
2020,Thousand Islands,St Lawrence,Eel Weir St Park,4886
2019,Thousand Islands,St Lawrence,Eel Weir St Park,4583
2018,Thousand Islands,St Lawrence,Eel Weir St Park,3922
2017,Thousand Islands,St Lawrence,Eel Weir St Park,5052
2016,Thousand Islands,St Lawrence,Eel Weir St Park,3613
2015,Thousand Islands,St Lawrence,Eel Weir St Park,3636
2014,Thousand Islands,St Lawrence,Eel Weir St Park,3377
2013,Thousand Islands,St Lawrence,Eel Weir St Park,3194
2012,Thousand Islands,St Lawrence,Eel Weir St Park,3865
2011,Thousand Islands,St Lawrence,Eel Weir St Park,2738
2010,Thousand Islands,St Lawrence,Eel Weir St Park,1990
2009,Thousand Islands,St Lawrence,Eel Weir St Park,4427
2008,Thousand Islands,St Lawrence,Eel Weir St Park,7120
2007,Thousand Islands,St Lawrence,Eel Weir St Park,10835
2006,Thousand Islands,St Lawrence,Eel Weir St Park,11802
2005,Thousand Islands,St Lawrence,Eel Weir St Park,9415
2004,Thousand Islands,St Lawrence,Eel Weir St Park,5925
2003,Thousand Islands,St Lawrence,Eel Weir St Park,4788
2019,New York City,Kings,Empire Fulton Ferry,0
2016,New York City,Kings,Empire Fulton Ferry,0
2015,New York City,Kings,Empire Fulton Ferry,0
2014,New York City,Kings,Empire Fulton Ferry,0
2013,New York City,Kings,Empire Fulton Ferry,0
2012,New York City,Kings,Empire Fulton Ferry,0
2011,New York City,Kings,Empire Fulton Ferry,0
2010,New York City,Kings,Empire Fulton Ferry,0
2009,New York City,Kings,Empire Fulton Ferry,378706
2008,New York City,Kings,Empire Fulton Ferry,472894
2007,New York City,Kings,Empire Fulton Ferry,377918
2006,New York City,Kings,Empire Fulton Ferry,143740
2005,New York City,Kings,Empire Fulton Ferry,239215
2004,New York City,Kings,Empire Fulton Ferry,196669
2003,New York City,Kings,Empire Fulton Ferry,120123
2020,Niagara,Erie,Evangola St Pk,238710
2019,Niagara,Erie,Evangola St Pk,189593
2018,Niagara,Erie,Evangola St Pk,185142
2017,Niagara,Erie,Evangola St Pk,176845
2016,Niagara,Erie,Evangola St Pk,148556
2015,Niagara,Erie,Evangola St Pk,141351
2014,Niagara,Erie,Evangola St Pk,139804
2013,Niagara,Erie,Evangola St Pk,138591
2012,Niagara,Erie,Evangola St Pk,155758
2011,Niagara,Erie,Evangola St Pk,110301
2010,Niagara,Erie,Evangola St Pk,105304
2009,Niagara,Erie,Evangola St Pk,81964
2008,Niagara,Erie,Evangola St Pk,95151
2007,Niagara,Erie,Evangola St Pk,99220
2006,Niagara,Erie,Evangola St Pk,108716
2005,Niagara,Erie,Evangola St Pk,103694
2004,Niagara,Erie,Evangola St Pk,94167
2003,Niagara,Erie,Evangola St Pk,97345
2020,Finger Lakes,Cayuga,Fair Haven St Pk,290498
2019,Finger Lakes,Cayuga,Fair Haven St Pk,294544
2018,Finger Lakes,Cayuga,Fair Haven St Pk,296438
2017,Finger Lakes,Cayuga,Fair Haven St Pk,262202
2016,Finger Lakes,Cayuga,Fair Haven St Pk,260291
2015,Finger Lakes,Cayuga,Fair Haven St Pk,297945
2014,Finger Lakes,Cayuga,Fair Haven St Pk,295527
2013,Finger Lakes,Cayuga,Fair Haven St Pk,281540
2012,Finger Lakes,Cayuga,Fair Haven St Pk,311403
2011,Finger Lakes,Cayuga,Fair Haven St Pk,289424
2010,Finger Lakes,Cayuga,Fair Haven St Pk,298186
2009,Finger Lakes,Cayuga,Fair Haven St Pk,282830
2008,Finger Lakes,Cayuga,Fair Haven St Pk,258485
2007,Finger Lakes,Cayuga,Fair Haven St Pk,267471
2006,Finger Lakes,Cayuga,Fair Haven St Pk,287452
2005,Finger Lakes,Cayuga,Fair Haven St Pk,278905
2004,Finger Lakes,Cayuga,Fair Haven St Pk,252124
2003,Finger Lakes,Cayuga,Fair Haven St Pk,261059
2020,Taconic,Westchester,F D Roosevelt,416890
2019,Taconic,Westchester,F D Roosevelt,572102
2018,Taconic,Westchester,F D Roosevelt,349318
2017,Taconic,Westchester,F D Roosevelt,392882
2016,Taconic,Westchester,F D Roosevelt,498682
2015,Taconic,Westchester,F D Roosevelt,555074
2014,Taconic,Westchester,F D Roosevelt,490546
2013,Taconic,Westchester,F D Roosevelt,475227
2012,Taconic,Westchester,F D Roosevelt,438389
2011,Taconic,Westchester,F D Roosevelt,472191
2010,Taconic,Westchester,F D Roosevelt,548587
2009,Taconic,Westchester,F D Roosevelt,502247
2008,Taconic,Westchester,F D Roosevelt,529277
2007,Taconic,Westchester,F D Roosevelt,532953
2006,Taconic,Westchester,F D Roosevelt,544148
2005,Taconic,Westchester,F D Roosevelt,622720
2004,Taconic,Westchester,F D Roosevelt,621783
2003,Taconic,Westchester,F D Roosevelt,579053
2020,Finger Lakes,Cayuga,Fillmore Glen St Pk,112731
2019,Finger Lakes,Cayuga,Fillmore Glen St Pk,111272
2018,Finger Lakes,Cayuga,Fillmore Glen St Pk,120731
2017,Finger Lakes,Cayuga,Fillmore Glen St Pk,90789
2016,Finger Lakes,Cayuga,Fillmore Glen St Pk,96226
2015,Finger Lakes,Cayuga,Fillmore Glen St Pk,108760
2014,Finger Lakes,Cayuga,Fillmore Glen St Pk,83044
2013,Finger Lakes,Cayuga,Fillmore Glen St Pk,93100
2012,Finger Lakes,Cayuga,Fillmore Glen St Pk,128212
2011,Finger Lakes,Cayuga,Fillmore Glen St Pk,130874
2010,Finger Lakes,Cayuga,Fillmore Glen St Pk,122859
2009,Finger Lakes,Cayuga,Fillmore Glen St Pk,89869
2008,Finger Lakes,Cayuga,Fillmore Glen St Pk,98844
2007,Finger Lakes,Cayuga,Fillmore Glen St Pk,93348
2006,Finger Lakes,Cayuga,Fillmore Glen St Pk,101221
2005,Finger Lakes,Cayuga,Fillmore Glen St Pk,106199
2004,Finger Lakes,Cayuga,Fillmore Glen St Pk,103980
2003,Finger Lakes,Cayuga,Fillmore Glen St Pk,100982
2016,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2015,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2014,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2013,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2012,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2011,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2010,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2009,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2008,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2007,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2006,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2005,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2004,Finger Lakes,Tompkins,Finger Lakes Admin.,0
2003,Finger Lakes,Tompkins,Finger Lakes Admin.,1
2020,Palisades,Orange,Fort Montgomery,42495
2019,Palisades,Orange,Fort Montgomery,30970
2018,Palisades,Orange,Fort Montgomery,31615
2017,Palisades,Orange,Fort Montgomery,35915
2016,Palisades,Orange,Fort Montgomery,41293
2015,Palisades,Orange,Fort Montgomery,53197
2014,Palisades,Orange,Fort Montgomery,46335
2013,Palisades,Orange,Fort Montgomery,44478
2012,Palisades,Orange,Fort Montgomery,42503
2011,Palisades,Orange,Fort Montgomery,22299
2010,Palisades,Orange,Fort Montgomery,25693
2009,Palisades,Orange,Fort Montgomery,21415
2008,Palisades,Orange,Fort Montgomery,14946
2007,Palisades,Orange,Fort Montgomery,10818
2006,Palisades,Orange,Fort Montgomery,6442
2005,Palisades,Orange,Fort Montgomery,5553
2004,Palisades,Orange,Fort Montgomery,4681
2003,Palisades,Orange,Fort Montgomery,3536
2020,Central,Oswego,Fort Ontario,107794
2019,Central,Oswego,Fort Ontario,123852
2018,Central,Tompkins,Fort Ontario,150920
2017,Central,Tompkins,Fort Ontario,97649
2016,Central,Oswego,Fort Ontario,93174
2015,Central,Oswego,Fort Ontario,133499
2014,Central,Oswego,Fort Ontario,116920
2013,Central,Oswego,Fort Ontario,112048
2012,Central,Oswego,Fort Ontario,138783
2011,Central,Oswego,Fort Ontario,152011
2010,Central,Oswego,Fort Ontario,105818
2009,Central,Oswego,Fort Ontario,121620
2008,Central,Oswego,Fort Ontario,110865
2007,Central,Oswego,Fort Ontario,102364
2006,Central,Oswego,Fort Ontario,113830
2005,Central,Oswego,Fort Ontario,167772
2004,Central,Oswego,Fort Ontario,139007
2003,Central,Oswego,Fort Ontario,120120
2020,Niagara,Niagara,Four  Mile Creek,47275
2019,Niagara,Niagara,Four  Mile Creek,81822
2018,Niagara,Niagara,Four  Mile Creek,87439
2017,Niagara,Niagara,Four  Mile Creek,85716
2016,Niagara,Niagara,Four  Mile Creek,82038
2015,Niagara,Niagara,Four  Mile Creek,80475
2014,Niagara,Niagara,Four  Mile Creek,79609
2013,Niagara,Niagara,Four  Mile Creek,77297
2012,Niagara,Niagara,Four  Mile Creek,74465
2011,Niagara,Niagara,Four  Mile Creek,68274
2010,Niagara,Niagara,Four  Mile Creek,74584
2009,Niagara,Niagara,Four  Mile Creek,72836
2008,Niagara,Niagara,Four  Mile Creek,75611
2007,Niagara,Niagara,Four  Mile Creek,92287
2006,Niagara,Niagara,Four  Mile Creek,53070
2005,Niagara,Niagara,Four  Mile Creek,50211
2004,Niagara,Niagara,Four  Mile Creek,43974
2003,Niagara,Niagara,Four  Mile Creek,47848
2020,New York City,New York,Franklin D. Roosevelt Four Freedoms State Park,136431
2019,New York City,New York,Franklin D. Roosevelt Four Freedoms State Park,255473
2018,New York City,New York,Franklin D. Roosevelt Four Freedoms State Park,208367
2017,New York City,New York,Franklin D. Roosevelt Four Freedoms State Park,184807
2016,Niagara,Niagara,Ft Niagara,830538
2015,Niagara,Niagara,Ft Niagara,720137
2014,Niagara,Niagara,Ft Niagara,599586
2013,Niagara,Niagara,Ft Niagara,504567
2012,Niagara,Niagara,Ft Niagara,363820
2011,Niagara,Niagara,Ft Niagara,321996
2010,Niagara,Niagara,Ft Niagara,292835
2009,Niagara,Niagara,Ft Niagara,292700
2008,Niagara,Niagara,Ft Niagara,272076
2007,Niagara,Niagara,Ft Niagara,285993
2006,Niagara,Niagara,Ft Niagara,297411
2005,Niagara,Niagara,Ft Niagara,357120
2004,Niagara,Niagara,Ft Niagara,424577
2003,Niagara,Niagara,Ft Niagara,508195
2016,Niagara,Niagara,Ft. Niagara Boat Launch,319
2015,Niagara,Niagara,Ft. Niagara Boat Launch,0
2020,Niagara,Niagara,Ft Niagara (including boat launch),211171
2019,Niagara,Niagara,Ft Niagara (including boat launch),474077
2018,Niagara,Niagara,Ft Niagara (including boat launch),691166
2017,Niagara,Niagara,Ft Niagara (including boat launch),689404
2020,Finger Lakes,Ontario,Ganondagan,39959
2019,Finger Lakes,Ontario,Ganondagan,49318
2018,Finger Lakes,Ontario,Ganondagan,50170
2017,Finger Lakes,Ontario,Ganondagan,51764
2016,Finger Lakes,Ontario,Ganondagan,54420
2015,Finger Lakes,Ontario,Ganondagan,48871
2014,Finger Lakes,Ontario,Ganondagan,45179
2013,Finger Lakes,Ontario,Ganondagan,34426
2012,Finger Lakes,Ontario,Ganondagan,34266
2011,Finger Lakes,Ontario,Ganondagan,35488
2010,Finger Lakes,Ontario,Ganondagan,35003
2009,Finger Lakes,Ontario,Ganondagan,35286
2008,Finger Lakes,Ontario,Ganondagan,37928
2007,Finger Lakes,Ontario,Ganondagan,37274
2006,Finger Lakes,Ontario,Ganondagan,28358
2005,Finger Lakes,Ontario,Ganondagan,27431
2004,Finger Lakes,Ontario,Ganondagan,30534
2003,Finger Lakes,Ontario,Ganondagan,26350
2020,New York City,Queens,Gantry Plaza,1407116
2019,New York City,Queens,Gantry Plaza,1898951
2018,New York City,Queens,Gantry Plaza,1287414
2017,New York City,Queens,Gantry Plaza,1171478
2016,New York City,Queens,Gantry Plaza,1438680
2015,New York City,Queens,Gantry Plaza,1004475
2014,New York City,Queens,Gantry Plaza,905450
2013,New York City,Queens,Gantry Plaza,443280
2012,New York City,Queens,Gantry Plaza,626912
2011,New York City,Queens,Gantry Plaza,634922
2010,New York City,Queens,Gantry Plaza,687815
2009,New York City,Queens,Gantry Plaza,343384
2008,New York City,Queens,Gantry Plaza,203334
2007,New York City,Queens,Gantry Plaza,186290
2006,New York City,Queens,Gantry Plaza,102275
2005,New York City,Queens,Gantry Plaza,102320
2004,New York City,Queens,Gantry Plaza,117614
2003,New York City,Queens,Gantry Plaza,118444
2020,Genesee,Monroe,Genesee River Park,1159
2019,Genesee,Monroe,Genesee River Park,984
2018,Genesee,Monroe,Genesee River Park,1290
2017,Genesee,Monroe,Genesee River Park,1132
2016,Genesee,Monroe,Genesee River Park,1580
2015,Genesee,Monroe,Genesee River Park,1670
2014,Genesee,Monroe,Genesee River Park,2455
2013,Genesee,Monroe,Genesee River Park,2990
2012,Genesee,Monroe,Genesee River Park,2655
2011,Genesee,Monroe,Genesee River Park,2636
2010,Genesee,Monroe,Genesee River Park,2363
2009,Genesee,Monroe,Genesee River Park,2262
2008,Genesee,Monroe,Genesee River Park,1811
2007,Genesee,Monroe,Genesee River Park,1182
2006,Genesee,Monroe,Genesee River Park,851
2005,Genesee,Monroe,Genesee River Park,578
2004,Genesee,Monroe,Genesee River Park,0
2003,Genesee,Monroe,Genesee River Park,0
2020,Genesee,Monore/Livingston/Wyoming/Allegany/Cattaraugus,Genesee Valley Greenway,70675
2019,Genesee,Monore/Livingston/Wyoming/Allegany/Cattaraugus,Genesee Valley Greenway,50133
2018,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,47726
2017,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,45401
2016,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,44316
2015,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,42777
2014,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,39087
2013,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,35779
2012,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,32120
2011,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,32954
2010,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,37805
2009,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,39268
2008,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,28545
2007,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,10885
2006,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,12432
2005,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,7396
2004,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,0
2003,Genesee,Allegany/Cattaraugus/Livingston/Monroe,Genesee Valley Greenway,0
2020,Central,Otsego,Gilbert Lake St Pk,137973
2019,Central,Otsego,Gilbert Lake St Pk,202304
2018,Central,Otsego,Gilbert Lake St Pk,123097
2017,Central,Otsego,Gilbert Lake St Pk,106194
2016,Central,Otsego,Gilbert Lake St Pk,98893
2015,Central,Otsego,Gilbert Lake St Pk,92813
2014,Central,Otsego,Gilbert Lake St Pk,77959
2013,Central,Otsego,Gilbert Lake St Pk,96076
2012,Central,Otsego,Gilbert Lake St Pk,111206
2011,Central,Otsego,Gilbert Lake St Pk,97749
2010,Central,Otsego,Gilbert Lake St Pk,89999
2009,Central,Otsego,Gilbert Lake St Pk,87784
2008,Central,Otsego,Gilbert Lake St Pk,86758
2007,Central,Otsego,Gilbert Lake St Pk,90101
2006,Central,Otsego,Gilbert Lake St Pk,79745
2005,Central,Otsego,Gilbert Lake St Pk,90337
2004,Central,Otsego,Gilbert Lake St Pk,84811
2003,Central,Otsego,Gilbert Lake St Pk,92440
2020,Central,Otsego,Glimmerglass State Park,177398
2019,Central,Otsego,Glimmerglass State Park,173453
2018,Central,Otsego,Glimmerglass State Park,185367
2017,Central,Otsego,Glimmerglass State Park,159331
2016,Central,Otsego,Glimmerglass State Park,155974
2015,Central,Otsego,Glimmerglass State Park,182822
2014,Central,Otsego,Glimmerglass State Park,153882
2013,Central,Otsego,Glimmerglass State Park,137484
2012,Central,Otsego,Glimmerglass State Park,140937
2011,Central,Otsego,Glimmerglass State Park,120293
2010,Central,Otsego,Glimmerglass State Park,105783
2009,Central,Otsego,Glimmerglass State Park,99380
2008,Central,Otsego,Glimmerglass State Park,90950
2007,Central,Otsego,Glimmerglass State Park,95049
2006,Central,Otsego,Glimmerglass State Park,96429
2005,Central,Otsego,Glimmerglass State Park,95246
2004,Central,Otsego,Glimmerglass State Park,76524
2003,Central,Otsego,Glimmerglass State Park,80943
2020,Niagara,Niagara,Golden Hill St Pk,73111
2019,Niagara,Niagara,Golden Hill St Pk,73554
2018,Niagara,Niagara,Golden Hill St Pk,79024
2017,Niagara,Niagara,Golden Hill St Pk,77359
2016,Niagara,Niagara,Golden Hill St Pk,81227
2015,Niagara,Niagara,Golden Hill St Pk,78723
2014,Niagara,Niagara,Golden Hill St Pk,70734
2013,Niagara,Niagara,Golden Hill St Pk,76662
2012,Niagara,Niagara,Golden Hill St Pk,77553
2011,Niagara,Niagara,Golden Hill St Pk,73193
2010,Niagara,Niagara,Golden Hill St Pk,75553
2009,Niagara,Niagara,Golden Hill St Pk,239893
2008,Niagara,Niagara,Golden Hill St Pk,320403
2007,Niagara,Niagara,Golden Hill St Pk,294268
2006,Niagara,Niagara,Golden Hill St Pk,258704
2005,Niagara,Niagara,Golden Hill St Pk,257111
2004,Niagara,Niagara,Golden Hill St Pk,237098
2003,Niagara,Niagara,Golden Hill St Pk,226076
2020,Palisades,Orange,Goosepond Mountain,12007
2019,Palisades,Orange,Goosepond Mountain,5894
2018,Palisades,Orange,Goosepond Mountain,6227
2017,Palisades,Orange,Goosepond Mountain,6582
2016,Palisades,Orange,Goosepond Mountain,6315
2015,Palisades,Orange,Goosepond Mountain,4726
2014,Palisades,Orange,Goosepond Mountain,2967
2013,Palisades,Orange,Goosepond Mountain,2447
2012,Palisades,Orange,Goosepond Mountain,3558
2011,Palisades,Orange,Goosepond Mountain,4459
2010,Palisades,Orange,Goosepond Mountain,2179
2009,Palisades,Orange,Goosepond Mountain,1179
2008,Palisades,Orange,Goosepond Mountain,1153
2007,Palisades,Orange,Goosepond Mountain,1254
2006,Palisades,Orange,Goosepond Mountain,1720
2005,Palisades,Orange,Goosepond Mountain,940
2004,Palisades,Orange,Goosepond Mountain,3
2003,Palisades,Orange,Goosepond Mountain,0
2020,Saratoga/Capital,Rensselaer,Grafton Lakes St Pk,276883
2019,Saratoga/Capital,Rensselaer,Grafton Lakes St Pk,261190
2018,Saratoga/Capital,Rensselaer,Grafton Lakes St Pk,267637
2017,Saratoga/Capital,Rensselaer,Grafton Lakes St Pk,245272
2016,Saratoga,Rensselaer,Grafton Lakes St Pk,255114
2015,Saratoga,Rensselaer,Grafton Lakes St Pk,252499
2014,Saratoga,Rensselaer,Grafton Lakes St Pk,240063
2013,Saratoga,Rensselaer,Grafton Lakes St Pk,257218
2012,Saratoga,Rensselaer,Grafton Lakes St Pk,293312
2011,Saratoga,Rensselaer,Grafton Lakes St Pk,220714
2010,Saratoga,Rensselaer,Grafton Lakes St Pk,220952
2009,Saratoga,Rensselaer,Grafton Lakes St Pk,198281
2008,Saratoga,Rensselaer,Grafton Lakes St Pk,174324
2007,Saratoga,Rensselaer,Grafton Lakes St Pk,173702
2006,Saratoga,Rensselaer,Grafton Lakes St Pk,164637
2005,Saratoga,Rensselaer,Grafton Lakes St Pk,169876
2004,Saratoga,Rensselaer,Grafton Lakes St Pk,159268
2003,Saratoga,Rensselaer,Grafton Lakes St Pk,154490
2020,Saratoga/Capital,Saratoga,Grants Cottage,5411
2019,Saratoga/Capital,Saratoga,Grants Cottage,5008
2018,Saratoga/Capital,Saratoga,Grants Cottage,7585
2017,Saratoga/Capital,Saratoga,Grants Cottage,6574
2016,Saratoga,Saratoga,Grants Cottage,5433
2015,Saratoga,Saratoga,Grants Cottage,11429
2014,Saratoga,Saratoga,Grants Cottage,4780
2013,Saratoga,Saratoga,Grants Cottage,5000
2012,Saratoga,Saratoga,Grants Cottage,4367
2011,Saratoga,Saratoga,Grants Cottage,3344
2010,Saratoga,Saratoga,Grants Cottage,3458
2009,Saratoga,Saratoga,Grants Cottage,3034
2008,Saratoga,Saratoga,Grants Cottage,2559
2007,Saratoga,Saratoga,Grants Cottage,2393
2006,Saratoga,Saratoga,Grants Cottage,2488
2005,Saratoga,Saratoga,Grants Cottage,2318
2004,Saratoga,Saratoga,Grants Cottage,44
2003,Saratoga,Saratoga,Grants Cottage,0
2020,Thousand Islands,Jefferson,Grass Pnt River Park,36486
2019,Thousand Islands,Jefferson,Grass Pnt River Park,36632
2018,Thousand Islands,Jefferson,Grass Pnt River Park,42489
2017,Thousand Islands,Jefferson,Grass Pnt River Park,33954
2016,Thousand Islands,Jefferson,Grass Pnt River Park,36547
2015,Thousand Islands,Jefferson,Grass Pnt River Park,41755
2014,Thousand Islands,Jefferson,Grass Pnt River Park,38109
2013,Thousand Islands,Jefferson,Grass Pnt River Park,39206
2012,Thousand Islands,Jefferson,Grass Pnt River Park,41804
2011,Thousand Islands,Jefferson,Grass Pnt River Park,39128
2010,Thousand Islands,Jefferson,Grass Pnt River Park,39214
2009,Thousand Islands,Jefferson,Grass Pnt River Park,37349
2008,Thousand Islands,Jefferson,Grass Pnt River Park,36567
